PLAYER,TEAM,AGE,G,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3
Bria Hartley,PHO,29,6,51,9,16,4,7,0,0,2,2,4,5,1,0,5,22,0,0
Briann January,CON,35,29,877,71,167,27,71,33,38,9,33,42,89,25,4,52,202,0,0
Brianna Turner,PHO,25,32,994,108,195,0,1,33,46,78,224,302,56,24,42,47,249,6,0
Bridget Carleton,MIN,25,32,618,55,137,27,74,16,20,23,51,74,47,25,6,27,153,0,0
Brionna Jones,CON,26,32,980,194,340,0,3,82,103,101,133,234,56,44,17,70,470,4,0
Brittney Griner,PHO,31,30,983,248,431,4,9,115,136,71,213,284,80,12,58,66,615,16,0
Brittney Sykes,LAS,28,32,939,115,284,11,42,61,79,37,109,146,70,58,15,45,302,2,0
Candace Parker,CHI,36,23,615,116,253,24,73,50,63,32,161,193,91,17,27,56,306,8,0
Candice Dupree,ATL,37,26,463,74,170,1,7,18,22,15,63,78,17,12,5,22,167,0,0
Charli Collier,DAL,22,28,345,40,86,0,0,16,23,31,71,102,6,4,5,13,96,1,0
Chelsea Dungee,DAL,25,14,64,3,17,2,10,0,0,1,2,3,1,0,1,2,8,0,0
Chelsea Gray,LVA,29,32,926,148,326,27,71,32,36,15,77,92,189,37,9,88,355,1,0
Chelsey Perry,IND,23,6,40,5,18,2,9,1,2,0,6,6,2,3,0,2,13,0,0
Chennedy Carter,ATL,23,11,280,60,132,1,9,35,40,5,9,14,36,8,4,23,156,0,0
Chiney Ogwumike,LAS,30,7,134,20,49,3,4,6,8,11,18,29,8,6,3,6,49,0,0
Cierra Burdick,SEA,28,14,64,5,11,0,0,3,5,7,13,20,6,3,3,3,13,0,0
Courtney Vandersloot,CHI,33,32,977,129,298,36,104,42,49,16,93,109,275,54,12,96,336,10,0
Courtney Williams,ATL,28,32,1101,228,546,39,102,34,53,46,173,219,128,34,17,58,529,7,0
Crystal Bradford,ATL,28,24,440,82,191,29,81,18,39,31,60,91,36,29,9,23,211,0,0
Crystal Dangerfield,MIN,24,31,623,87,224,28,78,36,42,8,53,61,88,21,2,43,238,0,0
Damiris Dantas,MIN,29,24,572,66,175,34,102,18,24,15,82,97,55,10,7,44,184,0,0
Dana Evans,CHI,23,29,221,27,79,18,45,23,26,1,10,11,30,5,1,17,95,0,0
